Méthode;Nb Threads;Durée (ms);Migration;;Méthode;Nb Threads;Durée (ms);;;Nb Threads;Methode 1;Methode 2;Methode 3
1;2;337,01;0;;1;2;337,01;;;2;337,01;828,08;555,27
1;2;327,57;1;;1;4;355,89;;;4;355,89;788,9;716,49
1;4;355,89;0;;1;8;355,1;;;8;355,1;774,74;384,28
1;4;358,62;1;;1;16;518,06;;;16;518,06;791,78;439,36
1;8;355,1;0;;1;32;423,92;;;32;423,92;913,98;344,48
1;8;394,39;1;;1;64;449,91;;;64;449,91;979,87;409,6
1;16;518,06;0;;1;128;465,49;;;128;465,49;834,15;379,22
1;16;529,15;1;;1;256;531,06;;;256;531,06;669,4;474,33
1;32;423,92;0;;1;512;692,97;;;512;692,97;454,77;576,28
1;32;426,43;1;;1;1024;1352,52;;;1024;1352,52;533,68;717,5
1;64;449,91;0;;2;2;828,08;;;;;;
1;64;422,69;1;;2;4;788,9;;;;;;
1;128;465,49;0;;2;8;774,74;;;;;;
1;128;468,54;1;;2;16;791,78;;;;;;
1;256;531,06;0;;2;32;913,98;;;;;;
1;256;566,49;1;;2;64;979,87;;;;;;
1;512;692,97;0;;2;128;834,15;;;;;;
1;512;820,1;1;;2;256;669,4;;;;;;
1;1024;1352,52;0;;2;512;454,77;;;;;;
1;1024;1435,4;1;;2;1024;533,68;;;;;;
2;2;828,08;0;;3;2;555,27;;;;;;
2;2;767,44;1;;3;4;716,49;;;;;;
2;4;788,9;0;;3;8;384,28;;;;;;
2;4;764,2;1;;3;16;439,36;;;;;;
2;8;774,74;0;;3;32;344,48;;;;;;
2;8;744,14;1;;3;64;409,6;;;;;;
2;16;791,78;0;;3;128;379,22;;;;;;
2;16;774,88;1;;3;256;474,33;;;;;;
2;32;913,98;0;;3;512;576,28;;;;;;
2;32;923,67;1;;3;1024;717,5;;;;;;
2;64;979,87;0;;;;;;;;;;
2;64;959,56;1;;;;;;;;;;
2;128;834,15;0;;;;;;;;;;
2;128;818,96;1;;;;;;;;;;
2;256;669,4;0;;;;;;;;;;
2;256;464,46;1;;;;;;;;;;
2;512;454,77;0;;;;;;;;;;
2;512;452,02;1;;;;;;;;;;
2;1024;533,68;0;;;;;;;;;;
2;1024;541,48;1;;;;;;;;;;
3;2;555,27;0;;;;;;;;;;
3;2;1192,09;1;;;;;;;;;;
3;4;716,49;0;;;;;;;;;;
3;4;438,63;1;;;;;;;;;;
3;8;384,28;0;;;;;;;;;;
3;8;370,5;1;;;;;;;;;;
3;16;439,36;0;;;;;;;;;;
3;16;420,57;1;;;;;;;;;;
3;32;344,48;0;;;;;;;;;;
3;32;377,11;1;;;;;;;;;;
3;64;409,6;0;;;;;;;;;;
3;64;388,43;1;;;;;;;;;;
3;128;379,22;0;;;;;;;;;;
3;128;389,94;1;;;;;;;;;;
3;256;474,33;0;;;;;;;;;;
3;256;429,69;1;;;;;;;;;;
3;512;576,28;0;;;;;;;;;;
3;512;513,95;1;;;;;;;;;;
3;1024;717,5;0;;;;;;;;;;
3;1024;699,48;1;;;;;;;;;;
